date,VTSMX,VBLTX,IEMG,VIX,VTI,MUB,VBR,SPTR,BND,VEA,VTV
20060126,26.209824236,7.3975094343,33.0815287968,12.42,53.3473605754,75.1623860293,53.9218343976,1928.174,54.4710716831,29.7202888696,46.2224299049
20060127,26.3966732746,7.4165424774,33.4136091527,11.97,53.7723218041,75.1623860293,54.1889808136,1943.344,54.4710716831,29.9166243865,46.3248138866
20060130,26.4306458271,7.3975094343,33.429422503,12.39,53.827019784,75.0927267281,54.1388908606,1945.662,54.4167093361,29.7939146885,46.7107227408
20060131,26.3711938603,7.442554303,33.6761107675,12.95,53.5619449582,75.4549550945,54.1388908606,1937.929,54.634158724,29.9166243865,46.6240901409
20060201,26.4051664128,7.4234381533,33.8028317864,12.36,53.7681142672,75.3850246449,54.4728238805,1941.751,54.5795791449,30.014792145,46.3878194138
20060202,26.1673585454,7.4298102032,33.2484273288,13.23,53.2884550586,75.3850246449,53.8800927701,1924.673,54.5795791449,29.6712049904,46.5217061591
20060203,26.0399614736,7.4744145526,32.7890636353,12.96,53.0275877697,75.4549550945,53.6212946796,1914.502,54.634158724,29.5239533527,46.0176619414
20060206,26.0824271642,7.4807866025,33.3751483476,13.04,53.1538138772,75.4549550945,53.8717444446,1916.036,54.634158724,29.5484952923,46.0255376323
20060207,25.8446192969,7.4552984029,32.8999445268,13.59,52.6362868364,75.4549550945,53.2623166832,1900.581,54.5795791449,29.3276178358,45.9152779597
20060208,26.0399614736,7.4361822531,32.6465024891,12.83,53.014965159,75.4549550945,53.3875415657,1917.841,54.5249995657,29.3276178358,45.7813912143
20060209,25.9890026449,7.4616704528,32.8049037627,13.12,52.9139842729,75.524885544,53.1871817537,1915.099,54.5795791449,29.4257855943,46.1200459231
20060210,26.0399614736,7.4298102032,32.9633050363,12.87,53.0233802328,75.524885544,53.2372717067,1920,54.4704199866,29.3767017151,46.0334133232
20060213,25.9295506781,7.4298102032,32.3930604513,13.35,52.7835506285,75.524885544,53.0202152437,1914.015,54.4704199866,29.1803661982,46.0806674686
20060214,26.1758516835,7.4043220035,32.6306623617,12.25,53.2842475217,75.4549550945,53.6880812836,1933.459,54.4158404074,29.3276178358,45.9940348687
20060215,26.2862624791,7.4170661034,32.5831419796,12.31,53.4862092937,75.524885544,54.0053176526,1940.685,54.4158404074,29.3276178358,46.4271978683
20060216,26.4985909321,7.4234381533,32.9474649089,11.48,53.9027554485,75.524885544,54.3559473235,1955.06,54.4704199866,29.4257855943,46.5532089227
20060217,26.4646183796,7.4807866025,33.2642674561,12.01,53.8396423948,75.6647464432,54.4728238805,1951.833,54.634158724,29.3521597754,46.9784962315
20060221,26.3796869984,7.4616704528,33.2959477108,12.41,53.6881710657,75.6647464432,54.2390707666,1945.447,54.5795791449,29.4257855943,47.1202586677
20060222,26.5750291751,7.4935307024,33.2801075835,11.88,54.1089247575,75.7346768928,54.88189183,1960.259,54.634158724,29.5975791716,46.9706205406
20060223,26.4985909321,7.4744145526,33.3751483476,11.87,53.9742835761,75.7346768928,54.614745414,1953.368,54.5795791449,29.7448308092,47.175388504
20060224,26.5495497608,7.4807866025,33.5335496212,11.46,54.0584343145,75.7346768928,54.9403301085,1956.135,54.5795791449,29.8429985677,47.1596371222
